amplicon_number	insert_chr	insert_start	insert_end	gene_name	cytoband	giestain	insert_length
AMPL70405	chr2	48028050	48028263	MSH6	p16.3	gpos100	213
AMPL65019	chr2	61760864	61761054	XPO1	p15	gneg	190
AMPL87262	chr2	80084990	80085190	CTNNA2	p12	gpos100	200
AMPL87263	chr2	148657126	148657335	ACVR2A	q22.3	gpos100	209
AMPL40069	chr2	148683482	148683690	ACVR2A	q22.3	gpos100	208
AMPL87265	chr2	198266465	198266596	SF3B1	q33.1	gneg	131
AMPL87266	chr2	198266664	198266802	SF3B1	q33.1	gneg	138
AMPL70500	chr20	22562487	22562700	FOXA2	p11.21	gneg	213
AMPL87409	chr20	31021158	31021304	ASXL1	q11.21	gneg	146
AMPL70392	chr20	31021350	31021498	ASXL1	q11.21	gneg	148
AMPL59385	chr20	57415757	57415907	GNAS	q13.32	gpos50	150
AMPL38817	chr20	57484215	57484421	GNAS	q13.32	gpos50	206
AMPL82112	chr22	22153221	22153430	MAPK1	q11.21	gneg	209
AMPL87267	chr3	30686139	30686353	TGFBR2	p24.1	gpos75	214
AMPL87268	chr3	30713625	30713784	TGFBR2	p24.1	gpos75	159
AMPL70340	chr3	30715574	30715726	TGFBR2	p24.1	gpos75	152
AMPL87270	chr3	30729827	30729987	TGFBR2	p24.1	gpos75	160
AMPL87271	chr3	41274883	41275096	CTNNB1	p22.1	gpos75	213
AMPL87272	chr3	52637364	52637541	PBRM1	p21.1	gneg	177
AMPL70414	chr3	52675872	52676073	PBRM1	p21.1	gneg	201
AMPL87274	chr3	77645598	77645812	ROBO2	p12.3	gpos75	214
AMPL87275	chr3	78700816	78701024	ROBO1	p12.3	gpos75	208
AMPL70344	chr3	142280105	142280311	ATR	q23	gneg	206
AMPL70415	chr3	169997892	169998090	PRKCI	q26.2	gneg	198
AMPL40482	chr3	178935938	178936116	PIK3CA	q26.32	gneg	178
AMPL87279	chr3	178951802	178951995	PIK3CA	q26.32	gneg	193
AMPL70345	chr3	189612086	189612303	TP63	q28	gpos75	217
AMPL70347	chr4	55980096	55980303	KDR	q12	gneg	207
AMPL87282	chr4	79188225	79188416	FRAS1	q21.21	gpos50	191
AMPL87283	chr4	153246964	153247168	FBXW7	q31.3	gneg	204
AMPL79867	chr4	153249293	153249505	FBXW7	q31.3	gneg	212
AMPL87285	chr4	187538940	187539155	FAT1	q35.2	gpos25	215
AMPL87286	chr5	11082714	11082931	CTNND2	p15.2	gpos50	217
AMPL87287	chr5	11346393	11346611	CTNND2	p15.2	gpos50	218
AMPL87288	chr5	38949958	38950168	RICTOR	p13.1	gneg	210
AMPL70348	chr5	38978600	38978768	RICTOR	p13.1	gneg	168
AMPL70472	chr5	112116288	112116500	APC	q22.2	gpos50	212
AMPL70473	chr5	112157486	112157674	APC	q22.2	gpos50	188
AMPL70474	chr5	112170540	112170760	APC	q22.2	gpos50	220
AMPL87293	chr6	7229232	7229436	RREB1	p24.3	gpos50	204
AMPL87294	chr6	7229498	7229654	RREB1	p24.3	gpos50	156
AMPL87295	chr6	7230435	7230606	RREB1	p24.3	gpos50	171
AMPL87296	chr6	33286904	33287054	DAXX	p21.32	gpos25	150
AMPL87297	chr6	33287262	33287479	DAXX	p21.32	gpos25	217
AMPL87298	chr6	33288610	33288783	DAXX	p21.32	gpos25	173
AMPL87299	chr6	33288925	33289140	DAXX	p21.32	gpos25	215
AMPL87300	chr7	41729195	41729399	INHBA	p14.1	gpos75	204
AMPL87301	chr7	41729876	41730087	INHBA	p14.1	gpos75	211
AMPL87302	chr7	42018104	42018305	GLI3	p14.1	gpos75	201
AMPL87303	chr7	42087976	42088196	GLI3	p14.1	gpos75	220
AMPL87304	chr7	55220129	55220348	EGFR	p11.2	gneg	219
AMPL70423	chr7	106512972	106513186	PIK3CG	q22.3	gneg	214
AMPL70352	chr7	116380813	116381018	MET	q31.2	gneg	205
AMPL40612	chr7	140452977	140453136	BRAF	q34	gneg	159
AMPL87308	chr7	151877957	151878176	KMT2C	q36.1	gneg	219
AMPL87309	chr7	151878887	151879030	KMT2C	q36.1	gneg	143
AMPL87310	chr7	151879113	151879331	KMT2C	q36.1	gneg	218
AMPL87311	chr7	151884181	151884400	KMT2C	q36.1	gneg	219
AMPL87312	chr7	151962029	151962233	KMT2C	q36.1	gneg	204
AMPL70354	chr8	38269877	38270027	FGFR1	p11.23	gneg	150
AMPL70355	chr8	38271537	38271759	FGFR1	p11.23	gneg	222
AMPL87315	chr8	38271883	38272102	FGFR1	p11.23	gneg	219
AMPL70357	chr8	38314716	38314934	FGFR1	p11.22	gpos25	218
AMPL87317	chr9	21974485	21974696	CDKN2A	p21.3	gpos100	211
AMPL70360	chr9	87342545	87342679	NTRK2	q21.33	gpos50	134
AMPL87319	chr9	101890939	101891146	TGFBR1	q22.33	gneg	207
AMPL87320	chr9	101904688	101904877	TGFBR1	q22.33	gneg	189
AMPL87321	chr9	101911351	101911534	TGFBR1	q22.33	gneg	183
AMPL87414	chrX	44928833	44929045	KDM6A	p11.3	gpos75	212
AMPL87415	chrX	44948836	44949041	KDM6A	p11.3	gpos75	205
AMPL70396	chrX	44949782	44949971	KDM6A	p11.3	gpos75	189
AMPL87417	chrX	47039687	47039906	RBM10	p11.23	gneg	219
AMPL4592	chrX	47041522	47041726	RBM10	p11.23	gneg	204
AMPL87419	chrX	47045096	47045247	RBM10	p11.23	gneg	151
AMPL87420	chrX	47045292	47045482	RBM10	p11.23	gneg	190
AMPL70503	chrX	47424368	47424587	ARAF	p11.23	gneg	219
AMPL66064	chrX	66943411	66943558	AR	q12	gpos50	147
AMPL70397	chrX	70356221	70356437	MED12	q13.1	gneg	216
AMPL70455	chrX	70360460	70360666	MED12	q13.1	gneg	206
AMPL70504	chrX	76777689	76777895	ATRX	q21.1	gpos100	206
